cluster,size,top_terms,labels
0,627,"thanks, thank, love, welcome, good, great, nice, glad, happy, like",Gratitude / thanks
1,663,"love, just, like, lol, got, know, think, good, really, guy",General relationships / casual social talk
2,460,"hurts, just, got, hurt, today, pain, like, really, sore, bad",Pain / injury / feeling hurt
3,623,"day, happy, mother, mother day, mothers, happy mother, mothers day, happy mothers, mom, love",Mother's Day
4,660,"going, fun, just, ll, got, tomorrow, hope, today, tonight, home",Plans / going out / upcoming activities
5,232,"follow, followers, following, new, people, follower, dm, new followers, just, thanks",Followers / follow-backs / Twitter networking
6,654,"know, oh, just, yeah, think, right, yes, good, lol, don",General conversational chatter / reactions
7,260,"drink, drinking, beer, wine, drunk, night, just, lol, tonight, coffee",Drinks / alcohol / coffee
8,313,"exam, exams, today, study, test, just, good, time, math, studying",Exams / studying / school tests
9,512,"eat, just, food, eating, lunch, hungry, dinner, good, pizza, im",Food / eating / meals
10,507,"work, working, day, job, today, just, time, going, don, need",Work / job / working day
11,385,"time, hours, work, just, early, hour, days, late, home, today",Time / long hours / being early or late
12,453,"sick, headache, feel, feeling, just, flu, like, bad, head, think",Sickness / headache / feeling unwell
13,615,"just, like, people, don, think, know, hate, say, love, life",Opinions about people / life / general thoughts
14,315,"phone, iphone, new, just, ipod, got, blackberry, like, need, work",Phones / iPhone / gadgets
15,224,"birthday, happy, happy birthday, day, bday, today, just, best, good, days",Birthdays / birthday wishes
16,549,"just, money, got, buy, shopping, want, don, need, like, lol",Money / shopping / buying stuff
17,87,"day, star, wars, star wars, wars day, happy, happy star, 4th, day 4th, fourth",Star Wars Day
18,733,"twitter, tweet, just, tweets, good, lol, love, night, like, know",Twitter / tweeting
19,419,"wait, week, going, hope, ll, gonna, know, excited, like, good",Waiting / anticipation / excitement
20,312,"house, just, room, cleaning, home, shower, today, time, like, need",Home / room / cleaning / chores
21,410,"car, just, got, bike, traffic, drive, like, driving, ride, going",Cars / driving / traffic / transport
22,484,"read, book, just, writing, good, like, new, need, blog, know",Reading / books / writing / blogs
23,711,"lol, haha, just, know, funny, love, oh, hahaha, did, yeah",Laughter / jokes / funny reactions
24,466,"concert, just, tickets, got, going, tour, night, really, awesome, tonight",Concerts / tickets / tours
25,572,"sorry, ll, just, got, im, thanks, lol, good, know, don",Apologies / casual reassurances
26,541,"watching, watch, just, tonight, episode, good, season, love, night, tv",TV / watching shows / episodes
27,746,"just, girl, like, love, sad, got, really, good, don, going",Girls / relationships / emotional chatter
28,578,"sad, feel, sorry, feeling, just, good, better, today, day, bad",Sadness / low mood / emotional support
29,531,"just, computer, new, laptop, work, mac, time, really, don, good",Computers / laptops / tech
30,482,"like, just, ice, chocolate, cream, coffee, good, want, ice cream, love",Desserts / snacks / ice cream / chocolate
31,337,"school, day, today, going, class, just, im, graduation, sad, got",School / class / graduation
32,651,"song, love, listening, music, just, new, like, songs, good, album",Music / songs / albums
33,365,"miss, gonna, missed, missing, going, come, ll, gonna miss, love, just",Missing someone / departures
34,420,"just, love, â½, good, want, know, hi, lol, day, im",Affection / greetings / emoji-heavy chatter
35,358,"dog, just, cat, got, cats, dogs, today, poor, puppy, know",Pets / dogs / cats
36,655,"sleep, bed, tired, night, just, awake, woke, hours, going, work",Sleep / tiredness / bedtime
37,608,"home, going, day, fun, night, bored, just, tonight, work, today",Home / daily routine / boredom
38,481,"morning, good, night, good morning, day, bed, goodnight, today, hope, good night",Greetings / good morning / good night
39,700,"love, just, know, im, like, lol, good, don, really, sorry",Love / apology / generic emotional chatter
40,241,"rain, raining, day, rainy, like, weather, just, today, gonna, away",Rain / rainy weather
41,713,"like, just, good, want, don, make, time, bored, wanna, going",Wants / boredom / general casual chatter
42,502,"movie, good, star, just, trek, star trek, love, really, watching, going",Movies / Star Trek
43,509,"just, work, link, site, working, facebook, thanks, page, don, oh",Web / links / Facebook / online sharing
44,525,"game, got, good, like, tonight, today, just, day, night, watching",Games / gaming
45,458,"hair, like, just, look, got, lol, wear, new, love, good",Hair / appearance / style
46,338,"pic, photo, pics, pictures, photos, picture, like, new, just, camera",Photos / pictures / camera
47,437,"weather, sun, today, day, cold, hot, outside, sunny, good, nice",General weather / sun / cold / hot
48,641,"just, going, wish, like, place, live, miss, want, know, come",Places / travel / missing somewhere
49,592,"day, weekend, friday, today, monday, good, week, work, just, great",Weekdays / weekend / weekly routine
