textID,text,sentiment
5f4c982f2e,So theres this boy. Hes so cute. Hes got a six pack.  yum it was fun touchin it.,2
9465fee9cd,  ive got a cold too... It sucks  and u were awesome in ipswitch xD,1
66ab9d1f77,"Just an observation: Aside from the riverwalk, there are pretty much no cute girls in downtown sa",1
e11142577b,Its time for me to pack up at work now and have not had much time for twitter!  Thank you for any follow fridays. Be back later!,2
c1512932c1, Soooo happy your back!,2
209de29f24,Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.,1
dbc12aea84,goin to bed w/smokey!!!!!,1
2c993b420a," they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets",0
e0f831f552,: Awesome. Tell me if its good. I might watch it,2
444645d3e6, Hmm. Did you mean to start 'following' me? Oh and g`morning by the way!,2
600c1c5e3e,"fun night tonight, and my house looks so purrrty. Until tomorrow when the kids come home",2
7fd2429a1c,wishes Happy mother`s day to all mothers!!!,2
b2654142cd,And I wanted us to leave at 12:45 to do a 1 p.m. showing (staff retreat mini),1
deb1798a0a,"unhooking my pt`s, then home to SLEEP! SLEEP IS GOOD",2
7280188899,My roommate has officially started packing,1
edf9ec7197,  in all honesty...pain   blech.,1
ab65e404fd,Last time we`ll get tacos like this.,1
b2ca6221e6, Doing really well! I will stay here as long as is needed!  So you can definitely come and visit me!! Look forward too ...,2
820116989a," Haha, i came home from a long night out, and all i saw on Tweetie was Khayyam Wakil. I usually don`t announce and **** - LOL",1
f41c115a5a,: AWW! Thank you honey.. Didja get mommy a daddy?,2
95578e1883,- me and my mom`s cars were broken into.  I feel violated.,0
f361ff21b1,  eat something!,1
86468dc721,Gonna have to have arthroscopy to repair my knee,0
e14d41126f,"Photo: Got my prints a few days ago, ready for the NorskArt exhibition  http://tumblr.com/xht1phgl3",1
44e6ea482a,I made it six days in a row w/out an accident in the house and then pops took me to a strange place and didn`t give me time after b-fast,0
e302ba395c,My throat is killing me,0
8d338cca4a, Any tips for someone who has only made it 52 on Flight Control?,1
bfec7b81ca,"Ginger biscuits rule !!! (by the way, I urgently need weight scales  )",1
aa003a6571,says good evening  http://plurk.com/p/rqh8l,2
c8b49e9b2c,  We`ll miss you  #Sixx?,0
c242a54ddc, you givein lady ga ga arun for her money in that get up hee hee love it,2
0462b79deb,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H,1
b732365aec,"Still unbelievably shocked about the firing of THE best radio personality, Martin Streek",0
e27ea173e0, quite,1
74e306376f,says numbers are all good - all that`s left is the white blood cell count.  http://plurk.com/p/rqo8q,2
a5a1b3b23e,My car is home. Yay! $613.22 Boo!  I`m paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,1
a0c3ef4a01,watching SNL with guess Justin Timberlake...OMG! He is too funny!  hahahah,2
99454c7e40, no probs(: and yeah im still sick. no school today  lol. feel really **** but thats because im dancing lol . thanks,1
4a680661d5, congrats! Photo of dre?,2
487622c4ec,yay cheerleading when im sick. its gonna be a fun  night peoples,2
3c58b704f2,Just finished down loading AIM6.9 and guess what! I can get updates from Twitter on it!  Message me at: i am katie arttt,1
dbde210ea9," Yeah, it`s good! If you`re not going to use it, give it to me! I want to watch Star Trek",2
1343254dd6,"http://pic.gd/63ef My college, My friends",1
f5e9c0eef2, I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! SlÃ¯Â¿Â½n!(bye in irish ) Sorcha xxxx,2
f73dc7b2c2, it would be cool if they had people make videos of themselves miming the song and make one big video  so EVERYONE can be in it.,2
7b30a80f96, Ok.. so what do you think of a snapshot befoooore the vid recording on Seesmic so the ladies dont look like freaks? just sayin,0
68c12c8b88,Omg amazing twist! This is a crazy awesome movie,2
e522456bac,"worst, most depressing day, ever.  r.i.p",1
af3fbd5681,Aww I got to see my 1st grade teacher`s last day before she retired,2
90937dd8e5,Looking forward to a session at the gym,1
3b15707658, really? I hate the mobile twitter..its hard to tweet with a sidekick,0
9f23e5d8f5,someone doesn`t feel good...,0
82e0928270,nice night  bed time; work from 4:30-8:45 tomorrow,2
09554aef59,About 60 again todayy yayy!!!,1
a53c94f0a9, nooo!! not too busy for you! EVER! SRSLY!  you are my pal! I`m not yet familiar with iphone twitter,2
bc2f4ee602,im at school right now,1
f09ad7baef,found out my 'friend' isnt actually. but hey **** happens.,0
751762b290, Doing okay. How are you doing?,1
0815af3970, have you seen the game on the website?! awesomness!!! go on msn!,2
c79ba16b00, good luck with you finals!!!,2
bfdc477f0d,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",1
f52f31eaab,_McFlyy FINALY MY CHANCE HAS CAME. . TO KILL YOU MWAHAHA! ha. not cool. .  ha  ****,1
aa1ae6ce1d," Hello, yourself. Enjoy London. Watch out for the Hackneys. They`re mental.",0
da792a629f, darn open source software and it`s security holes,1
69b1e0a735, is it for dinner? the amount for dinner ones is greater than say an afternoon snack. a pack for the day is prob ok.,2
08f8640e51,first trip home since diwali. But before that a couple of days in saddi dilli,1
0f0a1d8c75," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",2
8d70b707b7,http://twitpic.com/4wppe - we are one hott couple  eventho this was a few yrs ago but we still r,2
39168d7e12, nice .. I can`t ever get that from my ex!,2
8aa4944fec,Nice action shot: http://bit.ly/m8zfx   I miss working a pole.,1
deeb31fc40,Almost all are here now! Tomorrow at 8 we start! 291km`s of mud  - http://mobypicture.com/?zx33t1,1
5203f4bb2c,"TGIF.,..i wish that saying applied to me, but i work Saturdays",2
9fdac069e1,no phone  i knew i should`ve charged it last night. SIGH,1
e19f77eaf8, until I break up with you via a 27 second phone call,1
902670de2f,. Too bad they never made it over here during the last ten years,0
f2566dfbb1,Felt one tooth without the braces bracket. I got soooo hype,0
1d916b0d51,"Needs to `unfollow` some tweeps, its not that I dislike you but I can`t keep up with you tweeting literally every 2 minutes! Sorry",0
a48f21673a, I do! But I have to go to a dang wedding in madison,1
ea8d031926, Honored to tweet ya...,2
226c11669d,Sooo the Children`s Museum was closed for a fund raiser when we got there.  annoying,0
ff452f31b1," Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x",2
5c85bcc748,its probable bed time. hugs and kisses  <33,2
8ad203fa42,Bubbletweet hates me,0
2bf3b5a062, yeah I m so happy for them that they should moved on and out there partying I m so happy,2
fba4c01756,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,0
e2e0d8b057,"I have class tomorrow and tomorrow is Saturday, I hate having class Saturday",0
4975dbda48, i wish i wasn`t all  bummed but i kinda am,2
4056adde23,They are out of ice cream at the Crazy Mocha in SS. This means no Espresso Milkshake..,0
3c3b471263,happy mother`s day,2
9d7ad9bae7, Heidi just finished her set at Stiff Kitten with Aundy,1
40af425098,how sad. last entrance 2cal academy of science was at 4pm. and it was zipcode free day too.,2
4b469e2952,needs a new job either closer to home or worth the drive,2
10855048f0, was there yet another semi final tonight?,1
bc3d65f5b0, imagine i would say'bitch!' lol if i were ma d! haha but im not cuz ur cool,2
1d20b2af46,"_ladie haha, I`ve got my camera and lenses ready!",1
6e88246c57,"it`s `s birthday today, wish her a good one assholes! Sleepytime",0
686ae7c9d5,Chillen with Csla.. Waiting to start.. Watchin pacquiao rerun..,1
9878afadec,Trying to figure out how this works  ... BOO,1
9937fa651b, Flew home from London to NI to catch up with the family and caption a show ... Everyone went to bed early and left me!!,1
1bc9a85ea5,everybody needs some time on thier own  Guns N Roses x ? http://blip.fm/~5z5kz,1
d99e6abe40,How does this Follow Friday thing work?  I don`t have any real followers,1
a16c482d83, That comment was just to ..well you know...to not reply to it.,1
9651b01d62,Recovering from an Italian cruise in the Mediterenean,1
1dbd984ce7,"_Morales I like you. I mean as a random person, because I obviously don`t know you. but. we think alike",2
bb8d6194fa, I can give you the contact of the person who makes those cheesecakes!,1
5bd693c918,Upsidedown tomato plants died!,0
5aa5f7f146,figuring out wats wrong with her she can drink but cant eat  ...,0
824186c80e,Fighting a migraine   Medication is almost working.,2
44572fb7cd,you wanna know what`s worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon,0
21af13b50e,Got approximately 3 hours of sleep last night....I love my life,2
eb4da39f39,why are plane tickets so expensive,0
ed2a1be04b,we`re getting another puppy  ... not cool... really,0
755bcfd6a2,  we get so bored with routine.. lol!,1
5f02451f6e, glad you liked the gmail add-on too. We visual people like the asthetics to be right don`t we.,2
eed1736183,Oh my god. I literally drove in rain that was so hard that i couldn`t see in front of me. I`m shaking,0
993ed46c7e,It`s teddy-chucking time,0
67beae3c7f," _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",0
3cfcad1ae5,"Husband Went off to bed, now off to missing him again until he is off again Tuesday",0
eefb86c722,Watching the Krystle vs. Alexis catfights on Youtube.. I miss Dynasty,0
8d9769220b,10 minutes to boarding; 14 hours to home. no window seat,0
5f42a2d026, no way to comment on site unless you are a member,1
0a7b3de000,"Have to wait till Friday to pick up my Visa for China- not as expedited as I would have hoped, but at it`s done   #geeksonaplane",1
2f77444de7, AP is Associated Press: http://www.ap.org/ There are many other global news agencies like it,1
ec66683c9f,Flap-a-taco was nice until the plebs came in.,0
03e9eddd1f,I need a blankie  this trains an icebox,1
6e4e32db82,"im sosososo sad, i should be seeing cory lamb in a few hours  i love that kid.",1
a38bf809b0, LIKE DREW SAID 'GIVE TC A CHANCE' WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC,0
